Generation, Pareto Front, Average Fitness, Average Complexity
./generations/generation7,13,3.82044,113.5
./generations/generation7,14,20.0236,105.25
./generations/generation7,15,14.4152,90
./generations/generation8,all,3.81156,104.2
./generations/generation8,1,3.1206,103.2
./generations/generation8,2,1.60704,94.8889
./generations/generation8,3,6.66092,102
./generations/generation8,4,2.90119,99.9286
./generations/generation8,5,1.78172,116
./generations/generation8,6,1.19738,112
./generations/generation8,7,7.65968,93.5
./generations/generation8,8,2.76816,100.583
./generations/generation8,9,1.21775,117.4
./generations/generation8,10,5.3485,100.5
./generations/generation8,11,1.91388,113.5
./generations/generation8,12,11.3069,94.6429
./generations/generation8,13,1.4782,116.667
./generations/generation8,14,1.30898,119.2
./generations/generation8,15,1.30234,115.5
./generations/generation9,all,5.17472,98.89
./generations/generation9,1,3.19296,98.3077
./generations/generation9,2,1.37387,96.7143
./generations/generation9,3,9.96743,103.5
./generations/generation9,4,5.04236,90
./generations/generation9,5,2.18617,95.375
./generations/generation9,6,1.33108,103.75
./generations/generation9,7,1.20839,113.333
./generations/generation9,8,22.7871,79.25
./generations/generation9,9,5.05736,93.0714
./generations/generation9,10,1.34314,111.167
./generations/generation9,11,6.41901,97
./generations/generation9,12,1.66266,105.125
./generations/generation9,13,2.28638,111.667
./generations/generation9,14,68.6892,78
./generations/generation9,15,17.9586,79
./generations/generation10,all,5.45243,95.5
./generations/generation10,1,2.481,93.1667
./generations/generation10,2,4.02842,83.5
./generations/generation10,3,1.91393,94.875
./generations/generation10,4,22.2602,95.3846
./generations/generation10,5,8.8691,89.3333
./generations/generation10,6,1.38336,97
./generations/generation10,7,1.93897,96.6667
./generations/generation10,8,1.67577,100.545
./generations/generation10,9,1.95142,98.1667
./generations/generation10,10,2.93458,92.7
./generations/generation10,11,1.77547,101
./generations/generation10,12,1.70614,102.875
./generations/generation10,13,0.929153,140
./generations/generation11,all,6.76244,91.45
./generations/generation11,1,1.5511,93.5
./generations/generation11,2,2.40997,90.2857
./generations/generation11,3,2.79705,80
./generations/generation11,4,3.85152,83.4
./generations/generation11,5,3.30969,87.3846
./generations/generation11,6,8.55583,99.5
./generations/generation11,7,4.58715,84.1111
./generations/generation11,8,2.08147,100.6
./generations/generation11,9,2.56209,95.75
./generations/generation11,10,1.23347,104.111
./generations/generation11,11,37.384,70
./generations/generation11,12,4.21915,101.6
./generations/generation11,13,2.5571,105.333
./generations/generation11,14,55.2079,76
./generations/generation12,all,3.45368,86.81
./generations/generation12,1,1.95317,82.375
./generations/generation12,2,1.44327,101.818
./generations/generation12,3,3.50399,67.8333
./generations/generation12,4,1.86168,82.8571
./generations/generation12,5,2.77681,73.3333
./generations/generation12,6,4.2251,79.7778
./generations/generation12,7,0.986549,112
./generations/generation12,8,4.31366,81.3333
./generations/generation12,9,1.05577,110.444
./generations/generation12,10,9.67309,83.7778
./generations/generation12,11,1.96359,88
./generations/generation12,12,6.00027,81.5556
./generations/generation12,13,3.63015,79.7143
./generations/generation12,14,3.61391,77
./generations/generation13,all,2.27491,84.07
./generations/generation13,1,1.27473,88.875
./generations/generation13,2,1.2515,93.1429
./generations/generation13,3,2.80847,74.8889
./generations/generation13,4,1.5042,91.3333
./generations/generation13,5,2.79225,65.6
./generations/generation13,6,1.16924,90.5
./generations/generation13,7,2.51925,69
./generations/generation13,8,1.84379,80.4615
./generations/generation13,9,2.16771,90.5
./generations/generation13,10,2.48855,87.4
./generations/generation13,11,3.78015,69.5
./generations/generation13,12,1.52782,101.667
./generations/generation13,13,3.81741,81.5
./generations/generation13,14,3.72019,69.1667
./generations/generation13,15,5.9303,79.3333
./generations/generation13,16,1.81515,80.3333
./generations/generation14,all,2.53254,78.17
./generations/generation14,1,3.62292,65.8333
./generations/generation14,2,1.60969,92
./generations/generation14,3,1.39737,93.1538
./generations/generation14,4,2.94708,77
./generations/generation14,5,3.29862,68.125
./generations/generation14,6,3.11843,77.8
./generations/generation14,7,3.05603,65.25
./generations/generation14,8,1.50538,76
./generations/generation14,9,0.929218,96
./generations/generation14,10,2.52218,67.6667
./generations/generation14,11,2.18969,77
